区域,房源维护时间,房源编号,租赁方式,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
房山 长阳 金隅糖,2020/4/22,BJ2485365168130244608,整租,3房间1卫,45㎡,#,李树梅,45㎡,西,今天,随时入住,中楼层/14层,有,暂无数据,暂无数据,暂无数据,无,集中供暖,1年以内,需提前预约,需咨询,2600,2600,0,2600
通州 临河里 金隅自由筑,2020/4/22,BJ2384093267966042112,整租,2房间1卫,68㎡,#,林清涛,68㎡,南,今天,随时入住,中楼层/7层,有,租用车位,民水,商电,无,集中供暖,1年以内,需提前预约,季付,2900,2900,0,2900
朝阳 北工大 平乐园小区,2020/4/22,BJ2411612983017865216,整租,1室1厅1卫,46㎡,#,李德文,46㎡,南,今天,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4600,4600,0,4600
通州 临河里 金隅自由筑,2020/4/22,BJ2466618277259395072,整租,2房间1卫,52㎡,精装修,龙瑾,52㎡,东,今天,随时入住,低楼层/7层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,需咨询,2900,2900,0,2900
顺义 顺义城 建新北区,2020/4/22,BJ2393405408892436480,整租,2室1厅1卫,56㎡,#,董帅旗,56㎡,南 北,今天,随时入住,低楼层/5层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3000,3000,0,3000
朝阳 常营 柏林爱乐二期,2020/4/21,BJ2498335793244798976,整租,1室0厅1卫,61㎡,精装修,郑燕,61㎡,东南,1天前,2020/4/30,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5400,5400,0,5400
朝阳 百子湾 大成国际,2020/4/16,BJ2499074154360479744,整租,1室0厅1卫,48㎡,精装修,刘恩慧,48㎡,东,6天前,随时入住,低楼层/21层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,5300,5300,0,5300
房山 良乡 建设巷小区,2020/4/20,BJ2235195048558075904,整租,2室1厅1卫,56㎡,#,邓浩,56㎡,南 北,2天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2500,2500,0,2500
西城 牛街 菜园北里,2020/4/13,BJ2498628323920584704,整租,2室1厅1卫,57㎡,#,王磊,57㎡,南 北,9天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6200,6200,0,6200
朝阳 潘家园 松榆里,2020/4/16,BJ2497724776584314880,整租,2室1厅1卫,51㎡,精装修,周通,51㎡,南,6天前,随时入住,高楼层/19层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6200,6200,0,6200
朝阳 亚运村 安慧北里逸园,2020/4/18,BJ2498280333062455296,整租,1室1厅1卫,48㎡,#,李明鑫,48㎡,东 西,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,5700,5700,0,5700
朝阳 石佛营 石佛营西里小区,2020/4/12,BJ2497606669991944192,整租,2室1厅1卫,64㎡,#,姚行,64㎡,南 北,10天前,2020/5/10,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5600,5600,0,5600
朝阳 亚运村 安苑北里,2020/4/14,BJ2497893863256506368,整租,1室1厅1卫,44㎡,#,付德举,44㎡,南,8天前,2020/5/1,中楼层/25层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,6000,6000,0,6000
东城 东直门 草园胡同,2020/4/14,BJ2498517580747112448,整租,1室1厅1卫,44㎡,#,任兵,44㎡,东,8天前,2020/5/1,中楼层/6层,无,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,需咨询,5700,5700,0,5700
朝阳 劲松 广和东里,2020/4/18,BJ2497938021207515136,整租,2室1厅1卫,61㎡,#,郑晓岗,61㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5600,5600,0,5600
顺义 顺义城 裕龙三区,2020/4/18,BJ2498456755252764672,整租,3室1厅1卫,84㎡,#,刘杨,84㎡,南 北,4天前,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3400,3400,0,3400
大兴 观音寺 宇丰苑,2020/4/21,BJ2497872815005638656,整租,2室1厅1卫,97㎡,精装修,孙鸣翼,97㎡,南 北,1天前,随时入住,低楼层/15层,有,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,3500,3500,0,3500
海淀 定慧寺 定慧西里,2020/4/18,BJ2497577592249655296,整租,1室1厅1卫,51㎡,精装修,仝思敏,51㎡,南,4天前,2020/4/30,中楼层/16层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5400,5400,0,5400
西城 月坛 三里河一区,2020/4/18,BJ2497621752482365440,整租,1室1厅1卫,39㎡,#,范英男,39㎡,南,4天前,2020/5/5,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,6000,6000,0,6000
朝阳 垡头 燕保祈东家园,2020/4/18,BJ2497613450076241920,整租,3室2厅1卫,94㎡,#,贾晨念,94㎡,南 北,4天前,随时入住,中楼层/28层,有,租用车位,暂无数据,暂无数据,有,集中供暖,3年以上,需提前预约,季付,6000,6000,0,6000
顺义 顺义城 胜利小区,2020/4/21,BJ2498556692363476992,整租,2室1厅1卫,57㎡,精装修,庄建,57㎡,南 北,1天前,2020/4/30,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3500,3500,0,3500
海淀 甘家口 甘家口小区,2020/4/20,BJ2498409365900361728,整租,1室1厅1卫,43㎡,精装修,周佳欢,43㎡,东南,2天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,6000,6000,0,6000
海淀 公主坟 普惠南里,2020/4/20,BJ2498483183612600320,整租,1室1厅1卫,49㎡,精装修,牛星宇,49㎡,南,2天前,随时入住,低楼层/16层,有,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5500,5500,0,5500
海淀 苏州桥 小南庄甲26号院,2020/4/15,BJ2497652313649315840,整租,1室1厅1卫,42㎡,精装修,马伟,42㎡,南,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6100,6100,0,6100
丰台 玉泉营 金丰园,2020/4/22,BJ2498392208580296704,整租,2室1厅1卫,68㎡,#,董晋芬,68㎡,南,今天,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,4500,4500,0,4500
通州 梨园 群芳三园,2020/4/22,BJ2497613119883853824,整租,2室1厅1卫,81㎡,#,吴二德,81㎡,南,今天,2020/4/27,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3600,3600,0,3600
海淀 甘家口 甘家口小区,2020/4/22,BJ2497829372896223232,整租,1室1厅1卫,43㎡,#,杜冠宇,43㎡,西南,今天,随时入住,高楼层/12层,有,免费使用,民水,民电,有,集中供暖,3年以内,一般下班后可看,季付,5800,5800,0,5800
大兴 观音寺 观音寺北里,2020/4/15,BJ2499823328190545920,整租,3室1厅1卫,87㎡,精装修,刘亚双,87㎡,南 北,7天前,2020/5/15,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3700,3700,0,3700
东城 崇文门 新景家园东区,2020/4/11,BJ2496317096087535616,整租,1室0厅1卫,27㎡,精装修,罗敏,27㎡,西,11天前,2020/5/8,高楼层/15层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,5400,5400,0,5400
顺义 顺义城 港馨家园西区,2020/4/11,BJ2497050975018426368,整租,2室1厅1卫,83㎡,精装修,靳少卫,83㎡,南 北,11天前,2020/4/30,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,3500,3500,0,3500
昌平 东关 昌盛园三区,2020/4/16,BJ2497017550232363008,整租,2室1厅1卫,85㎡,#,刘一伟,85㎡,南 北,6天前,随时入住,中楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4000,4000,0,4000
顺义 后沙峪 观林阁,2020/4/18,BJ2497066318830764032,整租,1室1厅1卫,58㎡,精装修,苏俊玲,58㎡,南,4天前,随时入住,中楼层/11层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,季付,3600,3600,0,3600
通州 万达 中仓小区,2020/4/18,BJ2496378682923556864,整租,2室1厅1卫,63㎡,#,张晓慧,63㎡,南 北,4天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3800,3800,0,3800
通州 潞苑 小潞邑,2020/4/16,BJ2497143721289072640,整租,2室1厅1卫,87㎡,#,赵新,87㎡,南 北,6天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,3500,3500,0,3500
顺义 顺义城 裕龙四区,2020/4/18,BJ2497026693966077952,整租,2室1厅1卫,71㎡,#,刘秀莲,71㎡,南 北,4天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3600,3600,0,3600
海淀 玉泉路 金隅瑞和园,2020/4/19,BJ2496870930081923072,整租,2室1厅1卫,76㎡,精装修,马佳男,76㎡,南,3天前,2020/5/11,高楼层/16层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,需咨询,6200,6200,0,6200
顺义 李桥 樱花园三区,2020/4/14,BJ2496333996028600320,整租,2室1厅1卫,99㎡,#,马鹏飞,99㎡,南 北,8天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,3400,3400,0,3400
通州 临河里 华远铭悦园,2020/4/19,BJ2497146950047244288,整租,1室1厅1卫,56㎡,精装修,吕涛,56㎡,南,3天前,2020/5/1,高楼层/27层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,3500,3500,0,3500
丰台 青塔 春园,2020/4/19,BJ2496892876668010496,整租,1室1厅1卫,54㎡,#,王红,54㎡,西南,3天前,随时入住,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5000,5000,0,5000
昌平 南邵 拓然家苑,2020/4/18,BJ2496141089770045440,整租,2室1厅1卫,75㎡,#,任宇,75㎡,南 北,4天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4000,4000,0,4000
顺义 李桥 樱花园三区,2020/4/21,BJ2496848304714031104,整租,2室1厅1卫,99㎡,#,马鹏飞,99㎡,南 北,1天前,2020/5/6,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,3600,3600,0,3600
丰台 花乡 期颐百年,2020/4/19,BJ2497003080713764864,整租,1室1厅1卫,67㎡,#,郝露露,67㎡,南,3天前,2020/5/1,中楼层/9层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4300,4300,0,4300
丰台 青塔 汇锦苑,2020/4/16,BJ2496951636971765760,整租,1室1厅1卫,64㎡,#,金昊,64㎡,东南,6天前,随时入住,中楼层/24层,有,暂无数据,暂无数据,暂无数据,有,自采暖,3年以上,需提前预约,需咨询,5000,5000,0,5000
大兴 大兴其它 南海家园一里,2020/4/22,BJ2497045394278850560,整租,1室1厅1卫,67㎡,#,陈峥,67㎡,南 北,今天,随时入住,高楼层/15层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,季付,3200,3200,0,3200
大兴 大兴其它 南海家园六里,2020/4/18,BJ2496995884345065472,整租,2室1厅1卫,90㎡,#,范亭锐,90㎡,南 北,4天前,随时入住,低楼层/16层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
通州 马驹桥 东亚瑞晶苑,2020/4/22,BJ2496999437415481344,整租,2室1厅1卫,80㎡,#,杨吉祥,80㎡,南 北,今天,2020/5/13,低楼层/21层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3500,3500,0,3500
朝阳 定福庄 聚福苑,2020/4/18,BJ2500730956357574656,整租,2室1厅1卫,89㎡,#,于帅桐,89㎡,南,4天前,随时入住,低楼层/27层,有,暂无数据,民水,暂无数据,有,自采暖,2年以内,需提前预约,季付,6500,6500,0,6500
朝阳 北苑 n次方,2020/4/13,BJ2499080819151208448,整租,2房间1卫,60㎡,#,王笑盈,60㎡,东,9天前,随时入住,低楼层/18层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,6500,6500,0,6500
大兴 大兴其它 南海家园六里,2020/4/15,BJ2499376986087235584,整租,1室1厅1卫,67㎡,#,白雪,67㎡,南,7天前,2020/5/7,低楼层/18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,需咨询,3300,3300,0,3300
西城 月坛 月坛西街西里,2020/4/16,BJ2499827106687754240,整租,1室1厅1卫,33㎡,#,邹艳玲,33㎡,南 北,6天前,随时入住,低楼层/3层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,5300,5300,0,5300
朝阳 成寿寺 中海城紫鑫阁,2020/4/20,BJ2496198127950757888,整租,1房间1卫,38㎡,精装修,孟祥妹,38㎡,南,2天前,2020/4/24,低楼层/20层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800
朝阳 管庄 汇鸿家园,2020/4/17,BJ2499296307223461888,整租,2室1厅1卫,78㎡,精装修,庄天浩,78㎡,西,5天前,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6500,6500,0,6500
朝阳 惠新西街 惠新里小区,2020/4/10,BJ2496831637346582528,整租,2室1厅1卫,58㎡,#,唐明帅,58㎡,东 南 北,12天前,2020/5/11,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6500,6500,0,6500
朝阳 豆各庄 富力又一城C区,2020/4/15,BJ2496280533953421312,整租,2室1厅1卫,89㎡,精装修,陈新盛,89㎡,南 北,7天前,随时入住,中楼层/22层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,需咨询,6300,6300,0,6300
海淀 学院路 城华园,2020/4/10,BJ2496855925756280832,整租,2室1厅1卫,64㎡,#,高庆育,64㎡,西,12天前,随时入住,中楼层/27层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6000,6000,0,6000
海淀 清河 永泰西里,2020/4/16,BJ2496881923386261504,整租,2室1厅1卫,77㎡,#,龚康晴,77㎡,西,6天前,2020/4/26,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5200,5200,0,5200
海淀 西二旗 铭科苑,2020/4/16,BJ2496386647881957376,整租,1室1厅1卫,58㎡,#,刘娜,58㎡,南 北,6天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5400,5400,0,5400
朝阳 豆各庄 富力又一城C区,2020/4/15,BJ2496280533953421312,整租,2室1厅1卫,89㎡,精装修,贾慧敏,89㎡,南 北,7天前,随时入住,中楼层/22层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,需咨询,6300,6300,0,6300
朝阳 惠新西街 惠新里小区,2020/4/10,BJ2496831637346582528,整租,2室1厅1卫,58㎡,#,唐明帅,58㎡,东 南 北,12天前,2020/5/11,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6500,6500,0,6500
海淀 学院路 清华东路27号院,2020/4/13,BJ2496319206392332288,整租,1室1厅1卫,45㎡,精装修,施俊楠,45㎡,南 北,9天前,随时入住,高楼层/7层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5700,5700,0,5700
顺义 顺义城 红杉一品,2020/4/13,BJ2496848119955210240,整租,1室1厅1卫,70㎡,#,鲍雅楠,70㎡,南 北,9天前,2020/5/10,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3700,3700,0,3700
朝阳 定福庄 泰福苑D3区,2020/4/18,BJ2496356961504215040,整租,2室1厅1卫,60㎡,#,郭文静,60㎡,南,4天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,暂无数据,只能周末看房,需咨询,5200,5200,0,5200
朝阳 西坝河 西坝河南里,2020/4/9,BJ2496227391601647616,整租,2室1厅1卫,63㎡,#,李慧苹,63㎡,南,13天前,2020/4/26,中楼层/22层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5700,5700,0,5700
西城 广安门 荣丰2008,2020/4/17,BJ2496138387908730880,整租,1室1厅1卫,32㎡,精装修,张悦,32㎡,北,5天前,随时入住,高楼层/20层,有,暂无数据,民水,民电,无,集中供暖,2年以内,需提前预约,需咨询,5300,5300,0,5300
朝阳 管庄 京通苑,2020/4/19,BJ2496147578291224576,整租,2室1厅1卫,87㎡,精装修,王纪元,87㎡,西南,3天前,随时入住,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5400,5400,0,5400
海淀 马连洼 圆明园西路2号院,2020/4/19,BJ2496182984265711616,整租,1室1厅1卫,40㎡,#,王家,40㎡,南,3天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,5000,5000,0,5000
东城 东直门 东直门内大街,2020/4/20,BJ2496946108895330304,整租,1室1厅1卫,60㎡,#,李川,60㎡,南,2天前,随时入住,中楼层/14层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6800,6800,0,6800
朝阳 北苑 北苑家园紫绶园,2020/4/18,BJ2496915574144376832,整租,2室1厅1卫,77㎡,#,王冬,77㎡,西南,4天前,随时入住,中楼层/25层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,5500,5500,0,5500
朝阳 酒仙桥 驼房营南里,2020/4/20,BJ2497131377678893056,整租,2室2厅1卫,74㎡,精装修,杨晓宇,74㎡,南 北,2天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,6200,6200,0,6200
朝阳 酒仙桥 芳园南里西区,2020/4/21,BJ2496453973926748160,整租,1室1厅1卫,49㎡,#,李亚楠,49㎡,西,1天前,随时入住,中楼层/7层,无,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5000,5000,0,5000
朝阳 常营 苹果派,2020/4/21,BJ2496306101658853376,整租,2室1厅1卫,77㎡,#,侯中宇,77㎡,东 北,1天前,2020/5/1,低楼层/11层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,需咨询,5500,5500,0,5500
海淀 清河 永泰园,2020/4/21,BJ2496326330434994176,整租,2室1厅1卫,42㎡,#,张勇,42㎡,南 北,1天前,2020/4/30,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800
朝阳 西坝河 西坝河东里,2020/4/18,BJ2497086275203907584,整租,1室1厅1卫,43㎡,#,谢元彤,43㎡,南 北,4天前,2020/4/30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,6000,6000,0,6000
顺义 顺义城 双兴东区,2020/4/20,BJ2496236037546704896,整租,1室1厅1卫,69㎡,#,赵明城,69㎡,南 北,2天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3500,3500,0,3500
朝阳 国展 静安东里,2020/4/22,BJ2496900917702696960,整租,1室1厅1卫,43㎡,#,张少龙,43㎡,西南,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5500,5500,0,5500
海淀 西三旗 北新家园,2020/4/20,BJ2496199340054282240,整租,2室1厅1卫,56㎡,#,罗攀,56㎡,南 西 北,2天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5300,5300,0,5300
海淀 牡丹园 塔院小区,2020/4/15,BJ2496984164084228096,整租,1室1厅1卫,42㎡,#,金权,42㎡,南,7天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5700,5700,0,5700
东城 安贞 安外大街,2020/4/13,BJ2496185155447177216,整租,2室1厅1卫,47㎡,精装修,陈华,47㎡,东,9天前,随时入住,中楼层/16层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6300,6300,0,6300
丰台 太平桥 太平桥西里,2020/4/16,BJ2496443951838937088,整租,1室1厅1卫,45㎡,#,宋焕锐,45㎡,南,6天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,4300,4300,0,4300
大兴 大兴其它 恒大未来城,2020/4/22,BJ2494221101765500928,整租,1室1厅1卫,35㎡,#,邢军振,35㎡,南,今天,随时入住,中楼层/19层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3500,3500,0,3500
朝阳 望京 花家地北里,2020/4/22,BJ2496326729237807104,整租,1室1厅1卫,46㎡,#,崔波涛,46㎡,东南 西南,今天,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5300,5300,0,5300
海淀 小西天 今典花园,2020/4/22,BJ2496871756116000768,整租,1室1厅1卫,59㎡,#,胡明良,59㎡,东 东南 南,今天,随时入住,低楼层/26层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5800,5800,0,5800
朝阳 十里堡 十里堡北里,2020/4/21,BJ2496381792454983680,整租,2室1厅1卫,66㎡,#,王路甲,66㎡,南,1天前,随时入住,中楼层/21层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,6000,6000,0,6000
通州 果园 运河西大街8号院,2020/4/22,BJ2496292386234441728,整租,2室1厅1卫,63㎡,#,韩梦珂,63㎡,南 北,今天,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3500,3500,0,3500
海淀 学院路 逸成东苑,2020/4/22,BJ2500529936755343360,整租,1室1厅1卫,55㎡,#,施俊楠,55㎡,西南,今天,随时入住,低楼层/22层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6200,6200,0,6200
东城 崇文门 兴隆都市馨园,2020/4/14,BJ2487506663796916224,整租,1室0厅0卫,29㎡,精装修,牛佳荣,29㎡,北,8天前,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800
东城 永定门 新奥洋房,2020/4/17,BJ2413009709108822016,整租,1室1厅1卫,49㎡,精装修,安国磊,49㎡,北,5天前,随时入住,中楼层/11层,有,暂无数据,民水,民电,有,自采暖,3年以上,需提前预约,季付,5500,5500,0,5500
东城 崇文门 兴隆都市馨园,2020/4/19,BJ2490379067879333888,整租,1室0厅1卫,21㎡,精装修,王晓东,21㎡,南,3天前,随时入住,高楼层/7层,有,暂无数据,民水,民电,无,集中供暖,1年以内,需提前预约,季付,4900,4900,0,4900
东城 永定门 富莱茵花园,2020/4/18,BJ2493367918725693440,整租,2室1厅1卫,58㎡,#,郑文杰,58㎡,南,4天前,随时入住,中楼层/21层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,需咨询,5000,5000,0,5000
昌平 鼓楼大街 金隅万科城二期,2020/4/21,BJ2404863585718648832,整租,1室0厅0卫,23㎡,#,李雨馨,23㎡,南,1天前,随时入住,地下室/0层,无,暂无数据,民水,民电,无,自采暖,1年以内,需提前预约,年付,460,460,0,460
东城 天坛 金鱼池西区,2020/4/21,BJ2433250044246499328,整租,1室0厅1卫,40㎡,#,李国盛,40㎡,西,1天前,随时入住,地下室/7层,无,暂无数据,民水,民电,有,自采暖,3年以上,需提前预约,季付,4500,4500,0,4500
东城 永定门 西革新里124号,2020/4/20,BJ2448528809516351488,整租,2室1厅1卫,57㎡,#,李海波,57㎡,东 西,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5200,5200,0,5200
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2444891530402734080,整租,1室0厅1卫,35㎡,#,杜月,35㎡,北,今天,随时入住,低楼层/7层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,需咨询,5100,5100,0,5100
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2490573680355049472,整租,1室0厅1卫,28㎡,精装修,齐胜虎,28㎡,南,今天,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,1年以内,需提前预约,需咨询,4700,4700,0,4700
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2491375313721245696,整租,1室0厅1卫,28㎡,精装修,郝萍,28㎡,南,今天,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,需咨询,4800,4800,0,4800
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2488996327795728384,整租,1室0厅1卫,29㎡,精装修,杨仙虹,29㎡,南,今天,随时入住,高楼层/7层,有,租用车位,民水,民电,无,集中供暖,2年以内,需提前预约,季付,4500,4500,0,4500
朝阳 定福庄 电建南院,2020/4/14,BJ2495565012618723328,整租,2室1厅1卫,69㎡,精装修,李光明,69㎡,南 北,8天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5100,5100,0,5100
大兴 天宫院南 众美MIMO公馆,2020/4/16,BJ2494841620974018560,整租,2房间1卫,52㎡,#,陈凤巧,52㎡,北,6天前,2020/5/15,中楼层/5层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,需咨询,2200,2200,0,2200
丰台 青塔 广安﹒康馨家园,2020/4/22,BJ2499872890183491584,整租,2室2厅1卫,69㎡,精装修,李美香,69㎡,南,今天,随时入住,低楼层/18层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,半年付,4800,4800,0,4800
大兴 枣园 团河苑,2020/4/15,BJ2463851398576742400,整租,2室1厅1卫,60㎡,#,张佛安,60㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,3年以上,需提前预约,需咨询,3000,3000,0,3000
石景山 苹果园 广宁村,2020/4/19,BJ2500728163789701120,整租,2室1厅1卫,70㎡,#,于琳琳,70㎡,西,3天前,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4000,4000,0,4000
朝阳 北工大 平乐园小区,2020/4/10,BJ2496896799692816384,整租,2室1厅1卫,60㎡,#,王钱坤,60㎡,南 北,12天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5500,5500,0,5500
朝阳 东大桥 工体南路,2020/4/21,BJ2496406589951442944,整租,1室1厅1卫,40㎡,精装修,牛利权,40㎡,西北,1天前,随时入住,中楼层/18层,有,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6500,6500,0,6500
朝阳 亚运村小营 紫薇天悦,2020/4/19,BJ2497186902026240000,整租,1室1厅1卫,53㎡,精装修,于清博,53㎡,东,3天前,2020/4/29,高楼层/10层,有,暂无数据,民水,民电,有,集中供暖,1年以内,一般下班后可看,季付,6500,6500,0,6500
